Comment;Designator;Footprint;LCSC,Part,#
1K;JP3,R1;R0805;
1k;R27,R29,R30,R32,R34,R35,R37,R41,R42,R57;R0603;
1k5;R23;R0603;
3v;BAT-3V1;CR2032-SMD;
3v3;D7,D12;SMB;
4k7;R38,R58,R59;R0603;
10K;R31,R33,R43,R55;M1206;
10k;R4,R11,R12,R16,R19,R21,R24,R39,R40,R46,R52,R54,R56,R70,R71,R72,R73,R75,R78,R80;R0603;
30K;R2,R5;R0603;
74HC14D;IC6;SO14;
74HC541DW;IC9;SO20W;
100;R45,R77;R0603;
100nF;C2,C3,C6,C8,C9,C12,C13,C14,C15,C18;0805-NO;
100nF;C19;C0603;
100nF;C22,C23,C24,C25,C26;0805-NO;
100nF;C27;0805;
100nF;C28,C30,C31,C32,C33,C37,C38;0805-NO;
100uH;L1;DR125;
104;C4,C5;0805;
120;R60;R0603;
220;R9,R10,R13,R15,R20,R22,R25,R36,R44,R48,R51,R53,R74,R76;R0603;
470;R61;M1206;
470;R67;R0603;
500mA;F1,F3;L1812;
510;R3,R6,R17,R26,R49;R0603;
817C;OK1,OK5;SMD4-7;
AP70T03GH-HF-3TR;Q1,Q2;TRANS_AP70T03GH-HF-3TR;
CH340G;U2;SOIC16;
CTS742C083;RN1,RN2;CTS742C083;
DS3231/SO;IC3;SO16W;
ESP-WROOM-32;ESP;ESP-WROOM-32;
FDN340P;T6;SOT-23;
ILD207;OK2,OK3,OK4,OK6,OK7;SOIC08;
LED1;L3V3;CHIPLED_0805;
LM358D;IC2,IC4;SO08;
LM2576,5V;IC5;TO263-5;
M7;D1,D2,D3,D4,D8,D9,D10,D13;SMB;
MAX485,SMD;IC7;SO08;
MAX3232,SMD;IC8;SO16;
NCP1117,3v3,;IC1;SOT223;
SS510;D11;SMB;
bc848,sot23;T1,T2,T3,T4,T5,T7,T8,T9,T10;SOT23-BEC;
no;R7,R8,R18,R28,R50;R0603;
