Designator,Mid X,Mid Y,Layer,Rotation
BAT-3V1,19.56,84.45,Bottom,0.0
C2,10.67,62.10,Bottom,270.0
C3,53.85,35.56,Bottom,90.0
C4,70.87,15.88,Bottom,0.0
C5,81.53,14.35,Bottom,0.0
C6,98.93,92.84,Bottom,270.0
C8,98.43,89.03,Bottom,90.0
C9,39.37,78.74,Bottom,270.0
C12,43.69,72.52,Bottom,90.0
C13,112.90,71.63,Bottom,90.0
C14,32.38,88.52,Bottom,0.0
C15,10.79,58.55,Bottom,180.0
C18,110.24,92.96,Bottom,90.0
C19,42.80,68.83,Bottom,90.0
C22,16.13,52.71,Bottom,270.0
C23,16.13,49.02,Bottom,90.0
C24,116.08,70.23,Bottom,0.0
C25,45.34,57.28,Bottom,0.0
C26,42.80,54.99,Bottom,180.0
C27,56.13,62.36,Bottom,180.0
C28,102.23,59.31,Bottom,180.0
C30,102.11,61.47,Bottom,180.0
C31,113.03,53.98,Bottom,90.0
C32,16.89,55.63,Bottom,0.0
C33,18.16,52.71,Bottom,270.0
C37,47.75,36.83,Bottom,90.0
C38,116.33,52.96,Bottom,0.0
D1,100.46, 3.43,Bottom,180.0
D2,100.58,16.13,Bottom,180.0
D3,100.58,28.83,Bottom,180.0
D4,100.71,41.02,Bottom,180.0
D7,95.38,91.19,Bottom,90.0
D8,126.75,57.15,Bottom,90.0
D9,72.01, 5.08,Bottom,0.0
D10,82.04, 5.08,Bottom,0.0
D11,50.80,38.86,Bottom,270.0
D12,113.92,91.19,Bottom,90.0
D13,54.86,41.27,Bottom,270.0
ESP,80.52,77.22,Bottom,90.0
F1,14.35,32.51,Bottom,270.0
F3,50.42,87.00,Bottom,0.0
IC1,36.45,54.99,Bottom,270.0
IC2,58.55,76.58,Bottom,270.0
IC3,29.08,67.95,Bottom,180.0
IC4,104.65,90.93,Bottom,270.0
IC5,39.12,39.50,Bottom,270.0
IC6,103.89,53.59,Bottom,270.0
IC7,16.13,64.01,Bottom,0.0
IC8,10.67,52.32,Bottom,270.0
IC9,101.85,69.22,Bottom,270.0
JP3,113.54,66.04,Bottom,270.0
L1,41.76,26.67,Bottom,0.0
L3V3,42.93,59.56,Bottom,90.0
OK1,81.66,48.39,Bottom,90.0
OK2,69.88,39.78,Bottom,0.0
OK3,96.90,11.68,Bottom,90.0
OK4,98.04,36.07,Bottom,90.0
OK5,59.18,81.79,Bottom,270.0
OK6,116.46,75.69,Bottom,0.0
OK7,116.46,58.29,Bottom,0.0
Q1,71.00,27.97,Bottom,270.0
Q2,79.88,28.08,Bottom,270.0
R1,69.85,56.90,Bottom,270.0
R2,104.90,85.47,Bottom,90.0
R3,95.63,28.45,Bottom,270.0
R4,110.11,89.15,Bottom,270.0
R5,115.19,84.58,Bottom,90.0
R6,82.30,53.59,Bottom,270.0
R7,81.15,57.02,Bottom,90.0
R8,92.58,31.37,Bottom,90.0
R9,92.08,28.70,Bottom,180.0
R10,75.06,53.47,Bottom,90.0
R11,77.98,56.13,Bottom,0.0
R12,89.92,31.88,Bottom,180.0
R13,92.20,34.04,Bottom,180.0
R15,77.57,39.85,Bottom,180.0
R16,74.33,39.91,Bottom,0.0
R17,95.12,40.26,Bottom,270.0
R18,92.20,43.82,Bottom,90.0
R19,109.98,85.60,Bottom,90.0
R20,92.84,40.01,Bottom,270.0
R21,89.54,36.20,Bottom,90.0
R22,92.20,36.70,Bottom,180.0
R23,56.52,72.77,Bottom,180.0
R24,66.67,50.04,Bottom,270.0
R25,80.14,53.47,Bottom,90.0
R26,94.87, 3.30,Bottom,270.0
R27,59.18,72.52,Bottom,90.0
R28,92.46, 6.86,Bottom,90.0
R29,46.23,83.31,Bottom,270.0
R30,63.88,89.79,Bottom,180.0
R31,126.87,78.36,Bottom,0.0
R32,63.37,87.12,Bottom,270.0
R33,126.87,73.28,Bottom,0.0
R34,66.04,87.00,Bottom,270.0
R35,111.76,79.88,Bottom,180.0
R36,91.82, 4.06,Bottom,180.0
R37,60.58,85.85,Bottom,270.0
R38,118.87,89.15,Bottom,180.0
R39,90.81,14.22,Bottom,180.0
R40,107.32,76.71,Bottom,180.0
R41,49.53,73.03,Bottom,0.0
R42,45.72,72.52,Bottom,270.0
R43,126.87,68.20,Bottom,0.0
R44,74.33,42.07,Bottom,0.0
R45,75.92,35.53,Bottom,0.0
R46,74.33,37.75,Bottom,180.0
R48,91.06, 9.91,Bottom,180.0
R49,94.74,15.88,Bottom,270.0
R50,92.46,19.18,Bottom,90.0
R51,91.95,16.51,Bottom,180.0
R52,90.30, 6.86,Bottom,270.0
R53,90.81,12.19,Bottom,180.0
R54,13.97,69.72,Bottom,0.0
R55,126.75,63.12,Bottom,0.0
R56,81.69,19.97,Bottom,0.0
R57,16.64,70.10,Bottom,90.0
R58, 5.84,70.61,Bottom,90.0
R59, 5.63,64.14,Bottom,90.0
R60, 5.63,67.31,Bottom,90.0
R61,57.28,20.70,Bottom,270.0
R67,39.12,59.69,Bottom,180.0
R70,35.81,71.63,Bottom,90.0
R71,37.97,71.63,Bottom,90.0
R72,91.82,83.06,Bottom,270.0
R73,68.83,68.33,Bottom,180.0
R74,62.83,39.78,Bottom,90.0
R75,65.50,39.97,Bottom,180.0
R76,65.50,42.13,Bottom,180.0
R77,65.50,37.69,Bottom,0.0
R78,65.12,35.53,Bottom,0.0
R80,70.90,19.84,Bottom,0.0
RN1,37.08,66.29,Bottom,0.0
RN2,97.28,56.64,Bottom,90.0
T1,95.63, 6.73,Bottom,90.0
T2,95.76,19.30,Bottom,90.0
T3,95.89,31.62,Bottom,90.0
T4,95.25,43.82,Bottom,90.0
T5,14.61,72.52,Bottom,90.0
T6,59.59,89.54,Bottom,0.0
T7,84.33,57.02,Bottom,90.0
T8,111.25,76.71,Bottom,270.0
T9,49.78,68.83,Bottom,0.0
T10,46.36,68.83,Bottom,0.0
U2,48.13,77.98,Bottom,0.0
